STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,size_emp,Size classes in number of persons employed,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),indic_is,Information society indicator,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ISOC_SKE_FCTN2(1.0),Enterprises - ICT functions performed by NACE Rev.2 activity,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_IT_EXTQ,ICT functions are only performed by external suppliers,PC_ENT,Percentage of enterprises,AT,Austria,2024,,37.79,,,,,
dataflow,ESTAT:ISOC_SKE_FCTN2(1.0),Enterprises - ICT functions performed by NACE Rev.2 activity,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_IT_EXTQ,ICT functions are only performed by external suppliers,PC_ENT,Percentage of enterprises,BA,Bosnia and Herzegovina,2024,,63.01,,,,,
dataflow,ESTAT:ISOC_SKE_FCTN2(1.0),Enterprises - ICT functions performed by NACE Rev.2 activity,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_IT_EXTQ,ICT functions are only performed by external suppliers,PC_ENT,Percentage of enterprises,BE,Belgium,2024,,45.12,,,,,
dataflow,ESTAT:ISOC_SKE_FCTN2(1.0),Enterprises - ICT functions performed by NACE Rev.2 activity,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_IT_EXTQ,ICT functions are only performed by external suppliers,PC_ENT,Percentage of enterprises,BG,Bulgaria,2024,,40.50,,,,,
dataflow,ESTAT:ISOC_SKE_FCTN2(1.0),Enterprises - ICT functions performed by NACE Rev.2 activity,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_IT_EXTQ,ICT functions are only performed by external suppliers,PC_ENT,Percentage of enterprises,CY,Cyprus,2024,,55.10,,,,,
dataflow,ESTAT:ISOC_SKE_FCTN2(1.0),Enterprises - ICT functions performed by NACE Rev.2 activity,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_IT_EXTQ,ICT functions are only performed by external suppliers,PC_ENT,Percentage of enterprises,CZ,Czechia,2024,,45.49,,,,,
dataflow,ESTAT:ISOC_SKE_FCTN2(1.0),Enterprises - ICT functions performed by NACE Rev.2 activity,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_IT_EXTQ,ICT functions are only performed by external suppliers,PC_ENT,Percentage of enterprises,DE,Germany,2024,,34.84,,,,,
dataflow,ESTAT:ISOC_SKE_FCTN2(1.0),Enterprises - ICT functions performed by NACE Rev.2 activity,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_IT_EXTQ,ICT functions are only performed by external suppliers,PC_ENT,Percentage of enterprises,DK,Denmark,2024,,38.26,,,,,
dataflow,ESTAT:ISOC_SKE_FCTN2(1.0),Enterprises - ICT functions performed by NACE Rev.2 activity,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_IT_EXTQ,ICT functions are only performed by external suppliers,PC_ENT,Percentage of enterprises,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2024,,44.07,,,,,
dataflow,ESTAT:ISOC_SKE_FCTN2(1.0),Enterprises - ICT functions performed by NACE Rev.2 activity,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_IT_EXTQ,ICT functions are only performed by external suppliers,PC_ENT,Percentage of enterprises,EE,Estonia,2024,,36.62,,,,,
